datetime,price ($/MWh)
2010-10-31,30.9119878485
2010-11-30,31.9661698642
2010-12-31,30.4331774342
2011-01-31,29.0157031803
2011-02-28,25.2631890813
2011-03-31,22.5990025732
2011-04-30,23.0229668319
2011-05-31,23.1124683838
2011-06-30,22.7520320672
2011-07-31,30.2318031333
2011-08-31,31.8543418553
2011-09-30,35.2402524793
2011-10-31,30.2339918809
2011-11-30,30.1524573419
2011-12-31,28.1697705452
2012-01-31,26.3521811782
2012-03-31,19.7255865068
2012-04-30,16.9990523052
2012-05-31,19.3248632856
2012-06-30,17.9106593198
2012-07-31,18.757807426
2012-08-31,27.385228648
2012-09-30,27.1650096357
2012-10-31,32.7003650256
2012-11-30,33.3199852535
2012-12-31,30.7287067458
2013-01-31,35.5432407411
2013-02-28,35.723239896
2013-03-31,38.7225529124
2013-04-30,36.3597046377
2013-05-31,37.1170259804
2013-06-30,36.2710608835
2013-07-31,38.950048714
2013-08-31,40.1649844067
2013-09-30,37.8604331224
2013-10-31,38.6861286467
2013-11-30,40.2050061627
2013-12-31,50.563071574
2014-01-31,44.999738551
2014-02-28,58.6610151351
2014-03-31,44.6725158332
2014-04-30,40.1555165312
2014-05-31,33.1036695634
2014-06-30,35.1732137317
2014-07-31,41.9955679778
2014-08-31,43.5595520221
2014-09-30,42.6612951202
2014-10-31,39.6433438744
2014-11-30,40.1142037583
2014-12-31,33.4950792544
2015-01-31,32.2496988578
2015-02-28,26.1056779444
2015-03-31,26.5214800807
2015-04-30,28.3711273918
2015-05-31,27.1690313762
2015-06-30,33.4331430511
2015-07-31,31.3486039383
2015-08-31,33.3081798633
2015-09-30,32.1817652952
2015-10-31,31.7184881539
2015-11-30,27.320374298
2015-12-31,26.8840567604
2016-01-31,25.5111841665
2016-03-31,16.1821911307
2016-04-30,18.3359039855
2016-05-31,20.6457082717
2016-06-30,25.6280609516
2016-07-31,31.0493070336
2016-08-31,31.6769548958
2016-09-30,32.7030726508
2016-10-31,31.4652477813
2016-11-30,26.8840695812
2016-12-31,32.5467106069
2017-01-31,31.2895818108
2017-02-28,25.5839864365
2017-03-31,20.8140479327
2017-04-30,22.1482790917
2017-05-31,24.7411511634
2017-06-30,26.8069744058
2017-07-31,32.5818310025
2017-08-31,35.4464397816
2017-09-30,39.7444171509
2017-10-31,22.24550863
